,all,and,away,back,but,dont,down,feel,for,from,get,ill,its,ive,just,keep,know,like,never,not,out,see,that,the,this,too,were,what,when,with,you,your
"""A Little Too Nice"" lyrics",0.33677957691931093,0.23602714304902978,0.0,0.05241749379688211,0.04144179641986933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042097447114913866,0.0,0.248650778519216,0.10294573081080995,0.0,0.04144179641986933,0.2737754401439469,0.04717763107149143,0.2769383498922363,0.0,0.1704075578128177,0.028264794796377002,0.439354395452508,0.5410348350037045,0.0,0.0,0.0,0.0,0.28120906720605787,0.04416238193562355
"""Looking Back"" lyrics",0.11015131832026709,0.27019290841249777,0.0,0.48004089420280277,0.3253072684014277,0.05872410300722141,0.0661461022689725,0.06498873476100482,0.0,0.19843830680691746,0.24103096954369654,0.12139014054821726,0.2753782958006677,0.2599549390440193,0.0,0.0,0.12344402366173286,0.21687151226761847,0.0,0.06172201183086643,0.051759372640475,0.07118223670787652,0.0891769854527313,0.25884979203867636,0.12773396854100616,0.0,0.2095694702423929,0.0,0.05872410300722141,0.05685425651107363,0.28614673440178356,0.11555438449968905
"""Island (Acoustic)"" lyrics",0.0,0.12480827576701253,0.6324588433322593,0.0,0.0350622667480376,0.34178765636564995,0.0,0.0,0.11392921878855,0.0,0.10391519611852759,0.07850202996198449,0.0,0.0,0.1402490669921504,0.13064747378553693,0.0,0.3155604007323384,0.07721019470402851,0.0,0.06694474202741603,0.0,0.02883502050625387,0.07174117873813736,0.0,0.15258273324420243,0.0903512633331799,0.0,0.15190562505139998,0.036767191535838455,0.4758397645917842,0.03736404667325549
"""I've Never Been Home"" lyrics",0.17578609340133594,0.369591497733913,0.0,0.0,0.0,0.1874309052956247,0.0,0.0,0.0,0.0,0.0,0.0,0.17578609340133594,0.20742585695646065,0.17304829616619388,0.0,0.19699939142031578,0.0,0.19053378288698386,0.19699939142031578,0.0,0.0,0.56925597017241,0.23605031651837674,0.0,0.0,0.0,0.0,0.0,0.36292575695774454,0.260942945691641,0.0
"""I Had A Heart"" lyrics",0.0,0.4247915463581568,0.0,0.0,0.0994468944412851,0.0,0.0,0.35760867500246496,0.21542450133189842,0.0,0.0,0.22265483127935562,0.30306073151866675,0.0,0.0994468944412851,0.0,0.11321104060313061,0.1988937888825702,0.0,0.0,0.2848124484495336,0.1305630657704363,0.0,0.33913178328971083,0.23429073469804074,0.0,0.0,0.27141801833365575,0.0,0.0,0.2999158749355442,0.0
"""Cheap Talk And Eager Lies"" lyrics",0.0,0.28648705256775014,0.2592422955230901,0.1526970138115441,0.0,0.13075753948002522,0.1472836729038051,0.0,0.17434338597336693,0.0,0.0,0.0,0.08175584139200882,0.0,0.040241263631191196,0.2998904476503753,0.09162187228605423,0.040241263631191196,0.13292220191130302,0.2290546807151356,0.23049916013756672,0.0,0.09928259946866473,0.41168982421471284,0.18961185815401913,0.0,0.0,0.0,0.26151507896005044,0.0,0.48544477364595084,0.08576607230282737
"""Take A Hint"" lyrics",0.04576156644060688,0.06414267686435514,0.058042744488003783,0.056979859574105375,0.0,0.04879300552021734,0.0,0.053998197189247935,0.09758601104043468,0.0,0.0,0.05043065363757675,0.04576156644060688,0.0,0.0,0.0,0.0,0.045048848570537245,0.0,0.0,0.04300611206712035,0.35486572879981476,0.18523965972440581,0.4301490762761283,0.0,0.0653473290226971,0.46434195590403027,0.6147536972332103,0.0,0.0,0.13586009809334498,0.048006231104843776
"""Ripcord"" lyrics",0.29459928086113485,0.03441094777876623,0.0,0.0,0.09667033877819059,0.0,0.05896916610520788,0.0,0.052352463196256145,0.0,0.0,0.0,0.09819976028704494,0.0,0.048335169389095295,0.0,0.05502509510238006,0.14500550816728588,0.0,0.0,0.46143414926040743,0.0,0.11925175378906361,0.39559587534942364,0.0,0.0,0.0,0.0659600079274245,0.41881970557004916,0.10137099484279793,0.4373133429334141,0.3090497607571158
"""Get By"" lyrics",0.0,0.10525326338653028,0.22858496983001556,0.18699924794730863,0.0,0.12810498875312862,0.036073968154898835,0.0,0.032026247188282154,0.1082219044646965,0.7448866209995809,0.13240459873655097,0.0,0.0354427769403936,0.0,0.0,0.0,0.0,0.0,0.06732242151439324,0.11291162419563329,0.03882051477126736,0.0,0.08066765482209137,0.0,0.04289200245120665,0.07619498994333852,0.24210339565178063,0.16013123594141077,0.0,0.4235786037632908,0.03150983235300972
"""Composure"" lyrics",0.0,0.27395481199566724,0.0,0.0,0.44894416691313854,0.0,0.0,0.0,0.0,0.0,0.0,0.4307809063010437,0.06514955899213717,0.07687583723375946,0.0,0.23897656825150423,0.0,0.06413488098759122,0.07061532393151343,0.14602319471826258,0.3673601390515026,0.08420219386042167,0.05274418284855612,0.48116523599558925,0.0,0.0,0.24790186395791122,0.0,0.0,0.0,0.048355127259999776,0.0
