,and,but,just,out,that,the,when,you
"""A Little Too Nice"" lyrics",0.42747285772303845,0.0750559571917453,0.45033574315047187,0.5015678549180473,0.3086280873243341,0.05119086071406909,0.0,0.5093026252121882
"""Looking Back"" lyrics",0.46216049517236957,0.5564326951840184,0.0,0.08853354971409254,0.15253575675603165,0.44275828246840127,0.10044660566344948,0.489449250315586
"""Island (Acoustic)"" lyrics",0.2292338244361871,0.0643984339232315,0.257593735692926,0.1229565839807439,0.05296092737218554,0.13176614027104386,0.2790031924558123,0.8739690408015369
"""I've Never Been Home"" lyrics",0.4715132730159266,0.0,0.22076960377994256,0.0,0.7262389620041869,0.30114561081747665,0.0,0.3329028485445949
"""I Had A Heart"" lyrics",0.6091459812145388,0.14260565355530894,0.14260565355530894,0.4084176341556214,0.0,0.4863109086424042,0.0,0.4300757665393708
"""Cheap Talk And Eager Lies"" lyrics",0.36377545198079014,0.0,0.051097540829538345,0.2926831611016925,0.12606703225096083,0.5227553934367852,0.33206654609979913,0.6164079331403866
"""Take A Hint"" lyrics",0.12991596788552617,0.0,0.0,0.08710551145236364,0.3751884215056082,0.8712332617121132,0.0,0.27517398717464475
"""Ripcord"" lyrics",0.03939033593470509,0.11065888518607966,0.05532944259303983,0.5282053336039785,0.13650791232935855,0.4528400241859371,0.4794244263349962,0.5005941596733808
"""Get By"" lyrics",0.21693847509880404,0.0,0.0,0.23272319342703277,0.0,0.16626484979030806,0.33004797213025994,0.8730417796874551
"""Composure"" lyrics",0.34027171596538874,0.5576211672843387,0.0,0.45628789646635437,0.0655120947660312,0.5976420684944925,0.0,0.06006056987509713
"""Unconditional Love"" lyrics",0.2146924819734353,0.527741802160436,0.0,0.07197305593624759,0.12400343811733777,0.3599388789136363,0.24497320591012817,0.6821076797862103
"""A Little Too Nice"" lyrics",0.42747285772303845,0.0750559571917453,0.45033574315047187,0.5015678549180473,0.3086280873243341,0.05119086071406909,0.0,0.5093026252121882
"""Looking Back"" lyrics",0.46216049517236957,0.5564326951840184,0.0,0.08853354971409254,0.15253575675603165,0.44275828246840127,0.10044660566344948,0.489449250315586
"""I've Never Been Home"" lyrics",0.4715132730159266,0.0,0.22076960377994256,0.0,0.7262389620041869,0.30114561081747665,0.0,0.3329028485445949
"""Island (Acoustic)"" lyrics",0.2292338244361871,0.0643984339232315,0.257593735692926,0.1229565839807439,0.05296092737218554,0.13176614027104386,0.2790031924558123,0.8739690408015369
"""I Had A Heart"" lyrics",0.6091459812145388,0.14260565355530894,0.14260565355530894,0.4084176341556214,0.0,0.4863109086424042,0.0,0.4300757665393708
"""Cheap Talk And Eager Lies"" lyrics",0.36377545198079014,0.0,0.051097540829538345,0.2926831611016925,0.12606703225096083,0.5227553934367852,0.33206654609979913,0.6164079331403866
"""Take A Hint"" lyrics",0.12991596788552617,0.0,0.0,0.08710551145236364,0.3751884215056082,0.8712332617121132,0.0,0.27517398717464475
"""Ripcord"" lyrics",0.03939033593470509,0.11065888518607966,0.05532944259303983,0.5282053336039785,0.13650791232935855,0.4528400241859371,0.4794244263349962,0.5005941596733808
"""Get By"" lyrics",0.21693847509880404,0.0,0.0,0.23272319342703277,0.0,0.16626484979030806,0.33004797213025994,0.8730417796874551
"""Composure"" lyrics",0.34027171596538874,0.5576211672843387,0.0,0.45628789646635437,0.0655120947660312,0.5976420684944925,0.0,0.06006056987509713
"""Unconditional Love"" lyrics",0.2146924819734353,0.527741802160436,0.0,0.07197305593624759,0.12400343811733777,0.3599388789136363,0.24497320591012817,0.6821076797862103
"""Hear What You Want"" lyrics",0.0723998846808077,0.0,0.0,0.0,0.0,0.03468021274755333,0.0,0.9967725615916554
"""Smiling On The Surface"" lyrics",0.27282562790199905,0.0,0.0,0.0,0.0,0.9583639482644778,0.06917901891554633,0.04815581759957973
"""From The Outside"" lyrics",0.0,0.06079871477813401,0.0,0.05804180182743648,0.050000537614399834,0.995205813769304,0.0,0.0
"""Stand Steady"" lyrics",0.0,0.09268799083132126,0.0,0.17697012232073073,0.5335827528943046,0.8218150387862065,0.0,0.0
"""Me First"" lyrics",0.285217644006336,0.0,0.0,0.0,0.0,0.4781765904720027,0.0,0.8306612088403103
"""Eastwick"" lyrics",0.4976691732099737,0.34952428426976545,0.17476214213488273,0.33367513302696383,0.28744690058912065,0.3575821884436524,0.0,0.5270545757961225
"""Colder Quicker"" lyrics",0.08000922608456433,0.11238456785180984,0.0,0.10728849844146382,0.09242446707398888,0.9198037796704939,0.0,0.338933821773882
"""Door Without A Key"" lyrics",0.4647201171716018,0.16319170955725815,0.24478756433588722,0.0,0.4026239654169707,0.2782565297346973,0.0,0.6767200108658039
"""Basement Stairs"" lyrics",0.0,0.4860611834020869,0.19442447336083477,0.0,0.799468231270452,0.2652089589582994,0.10529186319941747,0.07329412643363745
"""Well, I'm Sorry"" lyrics",0.6934050217434977,0.0,0.432883542330776,0.0,0.0,0.07381053400017366,0.46886190747993406,0.32637682421542363
"""Isolating Everything"" lyrics",0.5100404568446094,0.14328516631028781,0.14328516631028781,0.27357582337526665,0.11783695385382888,0.1954512677053398,0.0,0.7562188689367514
"""Mess"" lyrics",0.11402002209630345,0.0,0.8007883300985342,0.0,0.13171280730646084,0.5461664257082378,0.173468892772446,0.0
