,all,and,but,dont,for,its,just,like,never,out,that,the,this,when,you,your
"""A Little Too Nice"" lyrics",0.40493346453569357,0.2837918190692551,0.04982834872110191,0.0,0.0,0.050616683066961696,0.2989700923266115,0.04982834872110191,0.32917921714960163,0.33298220310885834,0.20489283643450676,0.033984724923000836,0.5282662895921225,0.0,0.3381171830080482,0.05309949754947617
"""Looking Back"" lyrics",0.15425640597287182,0.3783793749057707,0.4555617747084531,0.08223750030423353,0.0,0.38564101493217956,0.0,0.30370784980563537,0.0,0.07248406029709066,0.12488385505688836,0.36249442326796744,0.17887922912096574,0.08223750030423353,0.400721185209561,0.16182288436623898
"""Island (Acoustic)"" lyrics",0.0,0.17092703419807745,0.04801836441272223,0.4680839477115275,0.15602798257050918,0.0,0.19207345765088893,0.4321652797145001,0.10574066110208868,0.09168195089292282,0.03949004587945279,0.0982507516927418,0.0,0.20803731009401222,0.6516705660369517,0.05117069075948323
"""I've Never Been Home"" lyrics",0.20330015127405468,0.42743999792612664,0.0,0.21676761035377745,0.0,0.20330015127405468,0.2001338337270158,0.0,0.22035615067287984,0.0,0.6583559746417926,0.2729969369471736,0.0,0.0,0.30178576306312566,0.0
"""I Had A Heart"" lyrics",0.0,0.5009662870443684,0.11727997389180436,0.0,0.25405499119710406,0.3574063813639294,0.11727997389180436,0.23455994778360872,0.0,0.335885768036162,0.0,0.39994578929341146,0.27630436729928315,0.0,0.35369758080224023,0.0
"""Cheap Talk And Eager Lies"" lyrics",0.0,0.33371389992471523,0.0,0.1523126719107836,0.20308356254771143,0.09523313681375416,0.04687495963220759,0.04687495963220759,0.15483417483905781,0.26849650959597265,0.11564914772375734,0.47955611105853485,0.22086901341409046,0.3046253438215672,0.565469424043693,0.09990444668571222
"""Take A Hint"" lyrics",0.08903133629655736,0.12479267383216959,0.0,0.09492914734525944,0.18985829469051888,0.08903133629655736,0.0,0.08764470927938363,0.0,0.08367046681465058,0.3603926990084195,0.8368757900212648,0.0,0.0,0.2643223784380458,0.09339843974468888
"""Ripcord"" lyrics",0.2977622243336108,0.0347803983841459,0.09770823274767604,0.0,0.05291454155995959,0.09925407477787027,0.04885411637383802,0.14656234912151406,0.0,0.4663883030048243,0.12053209145698285,0.39984316131705194,0.0,0.4233163324796767,0.4420085254179562,0.31236785074226336
"""Get By"" lyrics",0.0,0.20891446451418705,0.0,0.25427225974620754,0.06356806493655189,0.0,0.0,0.0,0.0,0.22411534566515517,0.0,0.16011512962674754,0.0,0.31784032468275936,0.8407501519444536,0.06254304656365904
"""Composure"" lyrics",0.0,0.33682233245959625,0.5519684810143257,0.0,0.0,0.08010016782911177,0.0,0.07885264014490367,0.08682022389290417,0.4516624401909234,0.06484798920417238,0.5915836845715623,0.0,0.0,0.059451727208030644,0.0
"""Unconditional Love"" lyrics",0.06758476776748423,0.1894632661007631,0.46572513660534615,0.07206186770379559,0.0,0.13516953553496847,0.0,0.0,0.43952901685609225,0.06351526669024977,0.10943138845607873,0.3176412837970855,0.0,0.2161856031113868,0.6019509749796434,0.0
"""A Little Too Nice"" lyrics",0.40493346453569357,0.2837918190692551,0.04982834872110191,0.0,0.0,0.050616683066961696,0.2989700923266115,0.04982834872110191,0.32917921714960163,0.33298220310885834,0.20489283643450676,0.033984724923000836,0.5282662895921225,0.0,0.3381171830080482,0.05309949754947617
"""Looking Back"" lyrics",0.15425640597287182,0.3783793749057707,0.4555617747084531,0.08223750030423353,0.0,0.38564101493217956,0.0,0.30370784980563537,0.0,0.07248406029709066,0.12488385505688836,0.36249442326796744,0.17887922912096574,0.08223750030423353,0.400721185209561,0.16182288436623898
"""I've Never Been Home"" lyrics",0.20330015127405468,0.42743999792612664,0.0,0.21676761035377745,0.0,0.20330015127405468,0.2001338337270158,0.0,0.22035615067287984,0.0,0.6583559746417926,0.2729969369471736,0.0,0.0,0.30178576306312566,0.0
"""Island (Acoustic)"" lyrics",0.0,0.17092703419807745,0.04801836441272223,0.4680839477115275,0.15602798257050918,0.0,0.19207345765088893,0.4321652797145001,0.10574066110208868,0.09168195089292282,0.03949004587945279,0.0982507516927418,0.0,0.20803731009401222,0.6516705660369517,0.05117069075948323
"""I Had A Heart"" lyrics",0.0,0.5009662870443684,0.11727997389180436,0.0,0.25405499119710406,0.3574063813639294,0.11727997389180436,0.23455994778360872,0.0,0.335885768036162,0.0,0.39994578929341146,0.27630436729928315,0.0,0.35369758080224023,0.0
"""Cheap Talk And Eager Lies"" lyrics",0.0,0.33371389992471523,0.0,0.1523126719107836,0.20308356254771143,0.09523313681375416,0.04687495963220759,0.04687495963220759,0.15483417483905781,0.26849650959597265,0.11564914772375734,0.47955611105853485,0.22086901341409046,0.3046253438215672,0.565469424043693,0.09990444668571222
"""Take A Hint"" lyrics",0.08903133629655736,0.12479267383216959,0.0,0.09492914734525944,0.18985829469051888,0.08903133629655736,0.0,0.08764470927938363,0.0,0.08367046681465058,0.3603926990084195,0.8368757900212648,0.0,0.0,0.2643223784380458,0.09339843974468888
"""Ripcord"" lyrics",0.2977622243336108,0.0347803983841459,0.09770823274767604,0.0,0.05291454155995959,0.09925407477787027,0.04885411637383802,0.14656234912151406,0.0,0.4663883030048243,0.12053209145698285,0.39984316131705194,0.0,0.4233163324796767,0.4420085254179562,0.31236785074226336
"""Get By"" lyrics",0.0,0.20891446451418705,0.0,0.25427225974620754,0.06356806493655189,0.0,0.0,0.0,0.0,0.22411534566515517,0.0,0.16011512962674754,0.0,0.31784032468275936,0.8407501519444536,0.06254304656365904
"""Composure"" lyrics",0.0,0.33682233245959625,0.5519684810143257,0.0,0.0,0.08010016782911177,0.0,0.07885264014490367,0.08682022389290417,0.4516624401909234,0.06484798920417238,0.5915836845715623,0.0,0.0,0.059451727208030644,0.0
"""Unconditional Love"" lyrics",0.06758476776748423,0.1894632661007631,0.46572513660534615,0.07206186770379559,0.0,0.13516953553496847,0.0,0.0,0.43952901685609225,0.06351526669024977,0.10943138845607873,0.3176412837970855,0.0,0.2161856031113868,0.6019509749796434,0.0
"""Hear What You Want"" lyrics",0.0,0.07218112594535069,0.0,0.0,0.0,0.0,0.0,0.0,0.05581679934630519,0.0,0.0,0.03457542529492847,0.0,0.0,0.993760779099551,0.05402243845962659
"""Smiling On The Surface"" lyrics",0.06343849323435527,0.266759756415292,0.0,0.13528185293200456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9370561532733354,0.14712943290475403,0.06764092646600228,0.04708514471909328,0.0
"""From The Outside"" lyrics",0.06016880417655108,0.0,0.059231699411726076,0.0,0.0641546394208703,0.0,0.0,0.0,0.1956501162814505,0.05654584264985353,0.048711832564361485,0.9695555544076392,0.06977311081735313,0.0,0.0,0.0
