,about,album,all,always,and,are,away,back,been,better,but,can,cant,dont,down,eyes,feel,find,for,from,get,had,here,how,ill,its,ive,just,keep,know,let,like,lost,myself,never,not,now,one,only,out,over,past,say,see,still,take,that,the,this,through,time,too,want,was,well,were,what,when,while,with,you,youll,your,youre
"""A Little Too Nice"" lyrics",0.0,0.0,0.33325551206429954,0.0,0.23355735266786565,0.0,0.0,0.05186899661849879,0.05283654505433074,0.0,0.041008149048411324,0.1242277177484675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04165693900803744,0.0,0.24604889429046795,0.1018685056558809,0.0,0.0,0.041008149048411324,0.0,0.0,0.2709106512051339,0.04668396386897704,0.0,0.0,0.0,0.27404046423424133,0.0,0.0,0.0,0.0,0.0,0.0,0.16862441142665674,0.027969031701455465,0.43475698667234336,0.05093425282794045,0.0,0.535373441088983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2782664927194558,0.0,0.04370026633016862,0.0
"""Looking Back"" lyrics",0.0,0.0,0.0785993137194264,0.0,0.192798211559586,0.05496346763285244,0.0,0.34253684310792176,0.09969326310256907,0.06787680387612376,0.23212548369100144,0.11719792179252789,0.0,0.04190303180699431,0.04719905601528914,0.0,0.04637320759845105,0.314132049117633,0.0,0.14159716804586742,0.17198948755365726,0.4625751097067228,0.17198948755365726,0.0927464151969021,0.08661886108029522,0.196498284298566,0.1854928303938042,0.0,0.0,0.08808442504851641,0.0,0.15475032246066764,0.0,0.15237788452024648,0.0,0.044042212524258204,0.11986640826366705,0.11465965836910484,0.0,0.03693329530801321,0.0,0.0,0.0,0.05079262817341549,0.05496346763285244,0.23439584358505577,0.06363291845289062,0.18470424431509316,0.0911455479524173,0.0,0.0,0.0,0.0,0.0,0.0,0.14953989465385362,0.0,0.04190303180699431,0.0,0.040568788571424715,0.20418218583314943,0.0,0.08245471282094648,0.0
"""Island (Acoustic)"" lyrics",0.0,0.0,0.0,0.04815113679800758,0.11815872410076686,0.09431807916851219,0.5987626182248583,0.0,0.0,0.11647754476588452,0.0331942147070656,0.10055663645397149,0.0,0.3235778488354901,0.0,0.0,0.0,0.05390549896879976,0.10785928294516339,0.0,0.09837878868679516,0.0,0.0,0.03978853640371715,0.07431958852587461,0.0,0.0,0.1327768588282624,0.1236868205623232,0.0,0.1908634522089513,0.29874793236359043,0.0,0.0,0.07309657983602291,0.0,0.0,0.0,0.10284621650672794,0.06337805129189313,0.0,0.0,0.04815113679800758,0.0,0.0,0.050278318226985745,0.027298744506323212,0.06791894281920564,0.0,0.0,0.09431807916851219,0.14445341039402274,0.0,0.0,0.0598927520777479,0.08553751688926547,0.0,0.14381237726021784,0.0,0.03480830428867622,0.4504879112786761,0.0,0.035373360099893704,0.0
"""I've Never Been Home"" lyrics",0.17029569182576418,0.0,0.12426678358210193,0.0,0.2612717864878385,0.0,0.0,0.0,0.31523331602572435,0.0,0.0,0.0,0.0,0.13249873920226632,0.0,0.16693804559668224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5865343174079465,0.0,0.12426678358210193,0.14663357935198662,0.1223313787390446,0.0,0.13926289768294106,0.0,0.0,0.0,0.0,0.13469222681363757,0.13926289768294106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4024186844332974,0.1668687950775795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25655963804413107,0.1844659035997036,0.0,0.0,0.0
"""I Had A Heart"" lyrics",0.1996968337505812,0.0,0.0,0.0,0.30637973251467543,0.0,0.0,0.0,0.0,0.0,0.0717257986406514,0.0,0.21257611454680037,0.0,0.0,0.0,0.2579242716374713,0.0,0.15537432809344565,0.0,0.0,0.12251465511830521,0.0,0.17194951442498083,0.16058918364856783,0.2185817176787799,0.0,0.0717257986406514,0.0,0.08165315113980773,0.0,0.1434515972813028,0.0,0.0,0.0,0.0,0.0,0.10628805727340018,0.0,0.20542019378899137,0.23295715827475094,0.0,0.0,0.09416825148708409,0.10190088264347069,0.0,0.0,0.24459786439328546,0.16898154693250558,0.0,0.3057026479304121,0.0,0.0,0.42515222909360073,0.0,0.0,0.19575949796942552,0.0,0.0,0.0,0.21631349853224888,0.0,0.0,0.0
"""Cheap Talk And Eager Lies"" lyrics",0.052795061465489256,0.0,0.0,0.0,0.2699982185679057,0.0,0.24432154033256376,0.1439084989713662,0.0,0.0,0.0,0.0,0.0,0.12323175657503907,0.1388067242541836,0.15526237247192798,0.0,0.0,0.16430900876671875,0.0,0.0,0.0,0.0,0.09091866918998132,0.0,0.07705036348245602,0.0,0.03792516763309448,0.2826301778925415,0.08634855249956082,0.0,0.03792516763309448,0.0,0.0,0.12527183131840872,0.21587138124890207,0.0,0.16860010481103402,0.0,0.21723272329671475,0.12317658982317628,0.12026157667197572,0.0,0.0,0.0,0.11488831194808333,0.09356836461218822,0.3879949133625158,0.17869870021029566,0.04710502964875692,0.0,0.0,0.05620003493701134,0.0,0.0,0.0,0.0,0.24646351315007814,0.0,0.0,0.4575048782231125,0.0,0.08082978454969919,0.0
"""Take A Hint"" lyrics",0.0,0.026302976403411896,0.02548012852844521,0.0,0.035714766293752406,0.0,0.032318312171798716,0.0317264958000356,0.0,0.0,0.0,0.03799292855405955,0.0,0.027168039659609754,0.0,0.0,0.03006630042859432,0.0,0.05433607931921951,0.0,0.0,0.0,0.0,0.0,0.028079885292534957,0.02548012852844521,0.0,0.0,0.0,0.0,0.0,0.025083285842619235,0.3340500206339358,0.0329316537998291,0.0,0.0,0.0,0.0,0.0,0.023945886214388354,0.0,0.0,0.29108415152701894,0.1975899227989746,0.0,0.22795757132435732,0.10314180010575531,0.2395078359944878,0.0,0.06230948982141209,0.0,0.03638551894087737,0.2973606454327429,0.0,0.5883552732252927,0.2585464973743897,0.34229604528877133,0.0,0.0,0.0,0.07564716487138885,0.0,0.02672996214640597,0.0
"""Ripcord"" lyrics",0.0,0.040414764284151236,0.23490270590215329,0.0,0.02743803285012113,0.054754792214474476,0.0,0.0,0.0,0.0,0.0770813971205135,0.0,0.2855608479490483,0.0,0.047019859119874406,0.0,0.0,0.0,0.041743941904733434,0.0,0.0,0.0,0.05711216958980966,0.04619714613592151,0.0,0.07830090196738443,0.0,0.03854069856025675,0.0,0.043875000965006114,0.0,0.11562209568077025,0.0,0.0,0.0,0.0,0.41793962357595615,0.0,0.17911698153255262,0.36793073608357024,0.0,0.0,0.0,0.0,0.10950958442894895,0.0,0.09508699263197683,0.3154337013032741,0.0,0.0,0.054754792214474476,0.0,0.0,0.0,0.0,0.0,0.0525941010384984,0.33395153523786747,0.06953948223035789,0.08082952856830247,0.3486976861650835,0.0,0.24642499074693758,0.2146077316358191
"""Get By"" lyrics",0.0,0.02234711338480062,0.0,0.1236531265307487,0.07585851878863906,0.09082905009973562,0.16474659949469858,0.13477478519385902,0.027457766582449764,0.3738959643192378,0.0,0.03227894323427463,0.0,0.09232829827384942,0.025999362898702905,0.0,0.0,0.0,0.023082074568462355,0.07799808869610872,0.5368574229094534,0.0,0.03157984840643843,0.025544448446987226,0.09542712898196222,0.0,0.025544448446987226,0.0,0.0,0.0,0.0,0.0,0.0,0.027978864069479224,0.0,0.048520863040526316,0.0,0.06315969681287686,0.06602780883587273,0.08137808073508475,0.13843044895604525,0.0,0.2473062530614974,0.027978864069479224,0.0,0.0,0.0,0.05813908863314337,0.0,0.0,0.0,0.030913281632687174,0.0,0.0,0.0,0.05491553316489953,0.17448964903252817,0.11541037284231177,0.3845146004554439,0.0,0.3052831279353489,0.26916022031881076,0.022709882170585036,0.05933306054195179
"""Composure"" lyrics",0.0,0.06162395835238936,0.0,0.0,0.25102314318687097,0.0,0.0,0.0,0.22715098391330005,0.0,0.41136483448857836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3947219482543244,0.05969614826734051,0.07044086634932256,0.0,0.2189727892476411,0.0,0.0,0.05876640492693977,0.0,0.0,0.0647043957407396,0.13380017328166693,0.0,0.0,0.27311547167667777,0.33660988144180726,0.09543326775900282,0.0,0.0,0.07715396277254508,0.0,0.0,0.04832917687051617,0.44088880590195884,0.0,0.1459818594984274,0.0,0.0,0.0,0.0,0.0,0.22715098391330005,0.0,0.0,0.0,0.0,0.044307511686264026,0.0,0.0,0.0
